7zip 24.09-3
htop 3.4.0-1
http-parser 2.9.4-2
hunspell 1.7.2-2
hwdata 0.393-1
hwloc 2.12.0-1
hyphen 2.8.8-6
i3-wm 4.24-1
i3blocks 1.5-4
i3lock 2.15-2
i3status 2.15-1
iana-etc 20250328-1
icewm 3.7.2-1
icu 76.1-1
igraph 0.10.15-1
ijs 0.35-6
imagemagick 7.1.1.46-2
imake 1.0.10-2
imath 3.1.12-3
imlib2 1.12.4-1
inetutils 2.5-1
iniparser 4.2.6-1
inkscape 1.4-8
intel-ucode 20250211-1
iproute2 6.14.0-1
iptables 1:1.8.11-1
iputils 20240905-1
ipython 9.0.2-1
irssi 1.4.5-4
iso-codes 4.17.0-1
isync 1.5.1-1
iw 6.9-1
jack2 1.9.22-1
jansson 2.14-4
jasper 4.2.4-2
java-commons-lang 3.17.0-1
java-environment-common 3-6
java-runtime-common 3-6
jbig2dec 0.20-1
jbigkit 2.1-8
jdk-openjdk 24.u36-1
jq 1.7.1-2
json-c 0.18-1
json-glib 1.10.6-1
jsoncpp 1.9.6-3
jxrlib 0.2.4-2
kbd 2.7.1-2
kcompletion5 5.116.0-1
kconfig5 5.116.0-1
kcoreaddons 6.12.0-1
kcoreaddons5 5.116.0-1
kcrash5 5.116.0-1
kdbusaddons 6.12.0-1
keyutils 1.6.3-3
kguiaddons5 5.116.0-1
ki18n5 5.116.0-1
kitemviews 6.12.0-1
kitemviews5 5.116.0-1
kiwix-desktop 2.3.1-5
kmod 34.1-1
krb5 1.21.3-1
krita 5.2.9-2
kwidgetsaddons 6.12.0-1
kwidgetsaddons5 5.116.0-1
kwindowsystem 6.12.0-3
kwindowsystem5 5.116.0-1
kyotocabinet 1.2.79-2
l-smash 2.14.5-4
lame 3.100-5
lapack 3.12.1-2
lcms2 2.17-1
ldns 1.8.4-1
leancrypto 1.2.0-2
ledger 3.3.2-8
lensfun 1:0.3.4-5
leptonica 1.85.0-2
less 1:668-1
lib2geom 1.4-2
lib32-alsa-lib 1.2.13-1
lib32-alsa-plugins 1.2.12-1
lib32-amdvlk 2025.Q1.3-1
lib32-brotli 1.1.0-1
lib32-bzip2 1.0.8-4
lib32-curl 8.12.1-1
lib32-e2fsprogs 1.47.2-1
lib32-expat 2.7.0-1
lib32-gcc-libs 14.2.1+r753+g1cd744a6828f-1
lib32-glibc 2.41+r9+ga900dbaf70f0-1
lib32-icu 76.1-1
lib32-json-c 0.18-1
lib32-keyutils 1.6.3-2
lib32-krb5 1.21.3-1
lib32-libdrm 2.4.124-1
lib32-libelf 0.192-2
lib32-libffi 3.4.7-1
lib32-libglvnd 1.7.0-1
lib32-libgpg-error 1.51-1
lib32-libidn2 2.3.7-1
lib32-libldap 2.6.9-1
lib32-libnghttp2 1.65.0-1
lib32-libnghttp3 1.8.0-1
lib32-libpciaccess 0.18.1-1
lib32-libpsl 0.21.5-1
lib32-libssh2 1.11.1-1
lib32-libtasn1 4.20.0-1
lib32-libunistring 1.3-1
lib32-libx11 1.8.12-1
lib32-libxau 1.0.11-2
lib32-libxcb 1.17.0-1
lib32-libxcrypt 4.4.38-1
lib32-libxcrypt-compat 4.4.38-1
lib32-libxdmcp 1.1.5-1
lib32-libxext 1.3.6-1
lib32-libxml2 2.13.7-1
lib32-libxshmfence 1.3.3-1
lib32-libxss 1.2.4-2
lib32-libxxf86vm 1.1.5-2
lib32-llvm-libs 1:19.1.7-1
lib32-lm_sensors 1:3.6.0.r41.g31d1f125-3
lib32-mesa 1:25.0.2-2
lib32-ncurses 6.5-1
lib32-nspr 4.36-1
lib32-nss 3.109-1
lib32-openssl 1:3.4.1-1
lib32-p11-kit 0.25.5-1
lib32-spirv-tools 1:1.4.309.0-1
lib32-sqlite 3.49.1-1
lib32-vulkan-icd-loader 1.4.309.0-1
lib32-wayland 1.23.1-1
lib32-xz 5.8.0-1
lib32-zlib 1.3.1-2
lib32-zstd 1.5.7-2
libabw 0.1.3-4
libadwaita 1:1.7.0-2
libaio 0.3.113-3
libao 1.2.2-6
libarchive 3.7.7-4
libass 0.17.3-1
libassuan 3.0.0-1
libasyncns 1:0.8+r3+g68cd5af-3
libatasmart 0.19-6
